Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
GTEX-15ER7-0002_C4RUH.8_1	3.705283315142566	49.0	76.0	0.0	2372733.0
GTEX-15ER7-0002_C4RUH.8_2	3.4474239395357102	50.0	76.0	0.0	2372733.0
GTEX-1A32A-0001_C40JE.1_1	3.9086919559525626	48.0	76.0	0.0	3004924.0
GTEX-1A32A-0001_C40JE.1_2	3.9456008169059515	48.0	76.0	0.0	3004924.0
GTEX-1A32A-0001_C40JE.2_1	3.972144205496946	48.0	76.0	0.0	2825143.0
GTEX-1A32A-0001_C40JE.2_2	3.9189428955866816	48.0	76.0	0.0	2825143.0
GTEX-1A32A-0001_C40JE.3_1	3.9561023649249023	48.0	76.0	0.0	3062663.0
GTEX-1A32A-0001_C40JE.3_2	4.199801718335877	48.0	76.0	0.0	3062663.0
GTEX-1A32A-0001_C40JE.4_1	3.989596221998468	48.0	76.0	0.0	3067660.0
GTEX-1A32A-0001_C40JE.4_2	3.944407970099604	48.0	76.0	0.0	3067660.0
GTEX-1A32A-0001_C40JE.5_1	4.045195515774054	48.0	76.0	0.0	3080785.0
GTEX-1A32A-0001_C40JE.5_2	4.07693538875013	48.0	76.0	0.0	3080785.0
GTEX-1A32A-0001_C40JE.6_1	3.9413292884543694	48.0	76.0	0.0	3127986.0
GTEX-1A32A-0001_C40JE.6_2	3.9852846290175563	48.0	76.0	0.0	3127986.0
GTEX-1A32A-0001_C40JE.7_1	4.123133017338148	48.0	76.0	0.0	3152337.0
GTEX-1A32A-0001_C40JE.7_2	4.176009012363963	48.0	76.0	0.0	3152337.0
GTEX-1A32A-0001_C40JE.8_1	3.999693784798694	48.0	76.0	0.0	3075960.0
GTEX-1A32A-0001_C40JE.8_2	4.023596866704807	48.0	76.0	0.0	3075960.0
GTEX-1A32A-0001_C40KK.1_1	3.2393400223932076	48.0	76.0	10.0	2644158.0
GTEX-1A32A-0001_C40KK.1_2	3.617897895679249	48.0	76.0	10.0	2644158.0
GTEX-1A32A-0001_C40KK.2_1	3.2241604821798546	48.0	76.0	10.0	2728809.0
GTEX-1A32A-0001_C40KK.2_2	3.4549874977408592	48.0	76.0	10.0	2728809.0
GTEX-1A32A-0001_C40KK.3_1	2.9582283329908137	48.0	76.0	10.0	2635174.0
GTEX-1A32A-0001_C40KK.3_2	3.4193788186443186	48.0	76.0	10.0	2635174.0
GTEX-1A32A-0001_C40KK.4_1	2.9518461299746406	48.0	76.0	10.0	2617565.0
GTEX-1A32A-0001_C40KK.4_2	3.360634169755315	48.0	76.0	10.0	2617565.0
GTEX-1A32A-0001_C40KK.5_1	2.9531183738320976	48.0	76.0	10.0	2590141.0
GTEX-1A32A-0001_C40KK.5_2	3.2905690118571442	48.0	76.0	10.0	2590141.0
GTEX-1A32A-0001_C40KK.6_1	2.9401733115998354	48.0	76.0	10.0	2614539.0
GTEX-1A32A-0001_C40KK.6_2	3.345486745030513	48.0	76.0	10.0	2614539.0
GTEX-1A32A-0001_C40KK.7_1	3.0809037515406885	48.0	76.0	10.0	2633234.0
GTEX-1A32A-0001_C40KK.7_2	3.4583770591915197	48.0	76.0	10.0	2633234.0
GTEX-1A32A-0001_C40KK.8_1	3.2953296586953655	48.0	76.0	10.0	2724692.0
GTEX-1A32A-0001_C40KK.8_2	3.5631777615087543	48.0	76.0	10.0	2724692.0
GTEX-1A32A-0001_C4104.1_1	3.572592052168517	48.0	76.0	0.0	2620389.0
GTEX-1A32A-0001_C4104.1_2	3.720231581671996	48.0	76.0	0.0	2620389.0
GTEX-1A32A-0001_C4104.2_1	4.006529191363612	48.0	76.0	0.0	2970066.0
GTEX-1A32A-0001_C4104.2_2	4.10099816958207	48.0	76.0	0.0	2970066.0
GTEX-1A32A-0001_C4104.3_1	3.8640056306962265	48.0	76.0	0.0	2968617.0
GTEX-1A32A-0001_C4104.3_2	4.009419864988189	48.0	76.0	0.0	2968617.0
GTEX-1A32A-0001_C4104.4_1	3.890710490969525	48.0	76.0	0.0	3003695.0
GTEX-1A32A-0001_C4104.4_2	3.8973016188112837	48.0	76.0	0.0	3003695.0
GTEX-1A32A-0001_C4104.5_1	3.912082925360778	48.0	76.0	0.0	2919945.0
GTEX-1A32A-0001_C4104.5_2	3.8743458436650258	48.0	76.0	0.0	2919945.0
GTEX-1A32A-0001_C4104.6_1	3.875422439606851	48.0	76.0	0.0	2917712.0
GTEX-1A32A-0001_C4104.6_2	4.016561159939414	48.0	76.0	0.0	2917712.0
GTEX-1A32A-0001_C4104.7_1	3.947794674982916	48.0	76.0	0.0	2913188.0
GTEX-1A32A-0001_C4104.7_2	4.018145917867173	48.0	76.0	0.0	2913188.0
GTEX-1A8FM-0004_C40JE.1_1	4.4681714018256	50.0	76.0	0.0	3290947.0
GTEX-1A8FM-0004_C40JE.1_2	4.571850707158205	50.0	76.0	0.0	3290947.0
GTEX-1A8FM-0004_C40JE.2_1	4.562565762644638	50.0	76.0	0.0	3116493.0
GTEX-1A8FM-0004_C40JE.2_2	4.547523200510611	50.0	76.0	0.0	3116493.0
GTEX-1A8FM-0004_C40JE.3_1	4.620270976323567	50.0	76.0	0.0	3405873.0
GTEX-1A8FM-0004_C40JE.3_2	4.803683903647041	50.0	76.0	0.0	3405873.0
GTEX-1A8FM-0004_C40JE.4_1	4.753854566890411	50.0	76.0	0.0	3435829.0
GTEX-1A8FM-0004_C40JE.4_2	4.759218073050434	50.0	76.0	0.0	3435829.0
GTEX-1A8FM-0004_C40JE.5_1	4.711656320598053	50.0	76.0	0.0	3467664.0
GTEX-1A8FM-0004_C40JE.5_2	4.826617381727743	50.0	76.0	0.0	3467664.0
GTEX-1A8FM-0004_C40JE.6_1	4.6568172140744934	50.0	76.0	0.0	3457307.0
GTEX-1A8FM-0004_C40JE.6_2	4.713059573961559	50.0	76.0	0.0	3457307.0
GTEX-1A8FM-0004_C40JE.7_1	4.735865691987158	50.0	76.0	0.0	3504474.0
GTEX-1A8FM-0004_C40JE.7_2	4.790283406747477	50.0	76.0	0.0	3504474.0
GTEX-1A8FM-0004_C40JE.8_1	4.712606322581763	50.0	76.0	0.0	3453912.0
GTEX-1A8FM-0004_C40JE.8_2	4.769976783272526	50.0	76.0	0.0	3453912.0
