Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-14DAQ-0004_C3TY8.5_2	GTEX-14DAQ-0004_C3TY8.5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20991825.0	0.0	76.0	49.0	83.60719311830177	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-14DAQ-0004_C3TY8.6_1	GTEX-14DAQ-0004_C3TY8.6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21110606.0	0.0	76.0	49.0	82.85420650594186	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-14DAQ-0004_C3TY8.6_2	GTEX-14DAQ-0004_C3TY8.6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21110606.0	0.0	76.0	49.0	83.55571051962137	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-14DAQ-0004_C3U3B.8_1	GTEX-14DAQ-0004_C3U3B.8_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20915389.0	0.0	76.0	49.0	84.31963141665406	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-14DAQ-0004_C3U3B.8_2	GTEX-14DAQ-0004_C3U3B.8_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20915389.0	0.0	76.0	49.0	83.29905124854238	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.1_1	GTEX-15ER7-0002_C4N20.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2617992.0	0.0	76.0	49.0	95.81485610493337	76.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.1_2	GTEX-15ER7-0002_C4N20.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2617992.0	0.0	76.0	50.0	96.0203897622592	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.2_1	GTEX-15ER7-0002_C4N20.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2543884.0	0.0	76.0	50.0	95.99310708021093	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.2_2	GTEX-15ER7-0002_C4N20.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2543884.0	0.0	76.0	50.0	96.17529285084788	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.3_1	GTEX-15ER7-0002_C4N20.3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2541916.0	0.0	76.0	49.0	95.89764302052536	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.3_2	GTEX-15ER7-0002_C4N20.3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2541916.0	0.0	76.0	50.0	96.05088047138418	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.4_1	GTEX-15ER7-0002_C4N20.4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2599864.0	0.0	76.0	49.0	95.91360019385124	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.4_2	GTEX-15ER7-0002_C4N20.4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2599864.0	0.0	76.0	50.0	96.08017333368869	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.5_1	GTEX-15ER7-0002_C4N20.5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2601620.0	0.0	76.0	49.0	95.73536052283303	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.5_2	GTEX-15ER7-0002_C4N20.5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2601620.0	0.0	76.0	50.0	96.01240947390662	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.6_1	GTEX-15ER7-0002_C4N20.6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2552018.0	0.0	76.0	49.0	95.8731664573181	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.6_2	GTEX-15ER7-0002_C4N20.6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2552018.0	0.0	76.0	50.0	96.05781874036926	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.7_1	GTEX-15ER7-0002_C4N20.7_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2574057.0	0.0	76.0	49.0	95.85238020621162	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.7_2	GTEX-15ER7-0002_C4N20.7_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2574057.0	0.0	76.0	50.0	96.05298733126251	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.8_1	GTEX-15ER7-0002_C4N20.8_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2542199.0	0.0	76.0	49.0	95.98538139785924	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4N20.8_2	GTEX-15ER7-0002_C4N20.8_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2542199.0	0.0	76.0	50.0	96.09918412261516	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.1_1	GTEX-15ER7-0002_C4RUH.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2494635.0	0.0	76.0	50.0	95.97706567674837	76.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.1_2	GTEX-15ER7-0002_C4RUH.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2494635.0	0.0	76.0	50.0	96.33098412636414	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.2_1	GTEX-15ER7-0002_C4RUH.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2507096.0	0.0	76.0	50.0	96.11374986059133	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.2_2	GTEX-15ER7-0002_C4RUH.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2507096.0	0.0	76.0	50.0	96.3849708495725	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.3_1	GTEX-15ER7-0002_C4RUH.3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2476567.0	0.0	76.0	49.0	96.13307143578416	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.3_2	GTEX-15ER7-0002_C4RUH.3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2476567.0	0.0	76.0	50.0	96.57427360079312	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.4_1	GTEX-15ER7-0002_C4RUH.4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2409331.0	0.0	76.0	49.0	96.1417323100653	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.4_2	GTEX-15ER7-0002_C4RUH.4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2409331.0	0.0	76.0	50.0	96.46828236690803	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.5_1	GTEX-15ER7-0002_C4RUH.5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2432659.0	0.0	76.0	50.0	96.12531061426476	76.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.5_2	GTEX-15ER7-0002_C4RUH.5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2432659.0	0.0	76.0	50.0	96.58405796938868	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.6_1	GTEX-15ER7-0002_C4RUH.6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2450934.0	0.0	76.0	50.0	96.0810106383288	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.6_2	GTEX-15ER7-0002_C4RUH.6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2450934.0	0.0	76.0	50.0	96.49170654616772	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.7_1	GTEX-15ER7-0002_C4RUH.7_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2451149.0	0.0	76.0	50.0	96.13172607481212	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.7_2	GTEX-15ER7-0002_C4RUH.7_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2451149.0	0.0	76.0	50.0	96.44725962970713	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.8_1	GTEX-15ER7-0002_C4RUH.8_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2372733.0	0.0	76.0	49.0	96.29471668485743	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-15ER7-0002_C4RUH.8_2	GTEX-15ER7-0002_C4RUH.8_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2372733.0	0.0	76.0	50.0	96.55257606046429	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.1_1	GTEX-1A32A-0001_C40JE.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3004924.0	0.0	76.0	48.0	96.09130804404744	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.1_2	GTEX-1A32A-0001_C40JE.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3004924.0	0.0	76.0	48.0	96.05439918309405	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.2_1	GTEX-1A32A-0001_C40JE.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2825143.0	0.0	76.0	48.0	96.02785579450305	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.2_2	GTEX-1A32A-0001_C40JE.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2825143.0	0.0	76.0	48.0	96.08105710441332	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.3_1	GTEX-1A32A-0001_C40JE.3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3062663.0	0.0	76.0	48.0	96.0438976350751	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.3_2	GTEX-1A32A-0001_C40JE.3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3062663.0	0.0	76.0	48.0	95.80019828166412	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.4_1	GTEX-1A32A-0001_C40JE.4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3067660.0	0.0	76.0	48.0	96.01040377800153	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.4_2	GTEX-1A32A-0001_C40JE.4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3067660.0	0.0	76.0	48.0	96.0555920299004	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.5_1	GTEX-1A32A-0001_C40JE.5_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3080785.0	0.0	76.0	48.0	95.95480448422595	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.5_2	GTEX-1A32A-0001_C40JE.5_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3080785.0	0.0	76.0	48.0	95.92306461124987	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.6_1	GTEX-1A32A-0001_C40JE.6_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3127986.0	0.0	76.0	48.0	96.05867071154563	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.6_2	GTEX-1A32A-0001_C40JE.6_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3127986.0	0.0	76.0	48.0	96.01471537098244	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.7_1	GTEX-1A32A-0001_C40JE.7_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3152337.0	0.0	76.0	48.0	95.87686698266185	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.7_2	GTEX-1A32A-0001_C40JE.7_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3152337.0	0.0	76.0	48.0	95.82399098763604	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.8_1	GTEX-1A32A-0001_C40JE.8_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3075960.0	0.0	76.0	48.0	96.0003062152013	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40JE.8_2	GTEX-1A32A-0001_C40JE.8_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3075960.0	0.0	76.0	48.0	95.9764031332952	76.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.1_1	GTEX-1A32A-0001_C40KK.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2644158.0	0.0	76.0	48.0	96.76065997760679	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
GTEX-1A32A-0001_C40KK.1_2	GTEX-1A32A-0001_C40KK.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2644158.0	0.0	76.0	48.0	96.38210210432075	76.0	pass	fail	pass	pass	pass	pass	pass	pass	pass	pass
