Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-131YS-0003_C3U0V.3_trimmed_read2	GTEX-131YS-0003_C3U0V.3_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20801590.0	0.0	10-76	49.0	84.01055304400404	74.44849456219453	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-14DAQ-0004_C3TY8.5_trimmed_read1	GTEX-14DAQ-0004_C3TY8.5_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20686596.0	0.0	10-76	49.0	84.34378953760863	74.83685368051853	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-14DAQ-0004_C3TY8.5_trimmed_read2	GTEX-14DAQ-0004_C3TY8.5_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20686596.0	0.0	10-76	49.0	84.93776056092095	74.5512537683822	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-14DAQ-0004_C3TY8.6_trimmed_read1	GTEX-14DAQ-0004_C3TY8.6_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20810606.0	0.0	10-76	49.0	84.1160197625954	74.85442086597574	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-14DAQ-0004_C3TY8.6_trimmed_read2	GTEX-14DAQ-0004_C3TY8.6_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20810606.0	0.0	10-76	49.0	84.7749054639289	74.55941782762116	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-14DAQ-0004_C3U3B.8_trimmed_read1	GTEX-14DAQ-0004_C3U3B.8_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20595078.0	0.0	10-76	49.0	85.31350240411815	74.8249918742721	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-14DAQ-0004_C3U3B.8_trimmed_read2	GTEX-14DAQ-0004_C3U3B.8_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20595078.0	0.0	10-76	49.0	84.37828622403423	74.51631627712213	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.1_trimmed_read1	GTEX-15ER7-0002_C4N20.1_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2441958.0	0.0	10-76	49.0	96.21447172843045	74.08724392475219	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.1_trimmed_read2	GTEX-15ER7-0002_C4N20.1_trimmed_read2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2441958.0	0.0	10-76	49.0	96.36049060460043	73.52906724849485	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
GTEX-15ER7-0002_C4N20.2_trimmed_read1	GTEX-15ER7-0002_C4N20.2_trimmed_read1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2375485.0	0.0	10-76	49.0	96.31687842438366	74.20392972382481	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
