Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GTEX-12WSD-2726_H752J.1_1	GTEX-12WSD-2726_H752J.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2129312.0	0.0	76.0	48.0	85.32135643018202	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
GTEX-12WSD-2726_H752J.1_2	GTEX-12WSD-2726_H752J.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2129312.0	0.0	76.0	49.0	85.93215803989736	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-2726_H752J.2_1	GTEX-12WSD-2726_H752J.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2188827.0	0.0	76.0	48.0	85.26932191347781	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
GTEX-12WSD-2726_H752J.2_2	GTEX-12WSD-2726_H752J.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2188827.0	0.0	76.0	48.0	85.96162430261664	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-2726_H7545.1_1	GTEX-12WSD-2726_H7545.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2136245.0	0.0	76.0	48.0	84.10829148299872	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
GTEX-12WSD-2726_H7545.1_2	GTEX-12WSD-2726_H7545.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2136245.0	0.0	76.0	49.0	84.59133712014827	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-2726_H7545.2_1	GTEX-12WSD-2726_H7545.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2177524.0	0.0	76.0	48.0	84.15881836354941	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
GTEX-12WSD-2726_H7545.2_2	GTEX-12WSD-2726_H7545.2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2177524.0	0.0	76.0	49.0	84.64290480063323	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-2726_H754H.1_1	GTEX-12WSD-2726_H754H.1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2110447.0	0.0	76.0	48.0	85.04787235690094	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
GTEX-12WSD-2726_H754H.1_2	GTEX-12WSD-2726_H754H.1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2110447.0	0.0	76.0	49.0	85.62454413546301	76.0	pass	pass	pass	fail	pass	pass	pass	pass	pass	pass
GTEX-12WSD-2726_H754H.2_1	GTEX-12WSD-2726_H754H.2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2122816.0	0.0	76.0	48.0	84.91807274534982	76.0	pass	pass	pass	fail	pass	pass	pass	pass	warn	pass
